learning_rate,m,n,mu,rho,alpha,num_iters,train_loss,test_loss,best_train_loss,best_test_loss,train_corr,test_corr,best_train_corr,best_test_corr,model
0.01,103,103,0.11118888888888888,0.11118888888888888,1.8,40000,0.027892574667930603,0.05023059993982315,0.027892574667930603,0.0474887378513813,0.9871155598376824,0.4538168828877717,0.9871155598376824,0.570296952104487,rf
0.01,103,103,0.11118888888888888,0.05564444444444444,1.8,40000,0.02789587527513504,0.05022748187184334,0.02789587527513504,0.04758667200803757,0.9871210412689291,0.4538880437861563,0.9871210412689291,0.5633131559122976,rf
0.01,103,103,0.11118888888888888,0.0001,1.8,40000,0.028544718399643895,0.05009753629565239,0.028544718399643895,0.04806937649846077,0.9832243220206534,0.4540374780165311,0.9832243220206534,0.5395986356603696,rf
0.01,103,103,0.05564444444444444,0.5,1.8,40000,0.019072437658905983,0.04950226470828056,0.019072437658905983,0.04568568617105484,0.9946417960374939,0.4679861034653914,0.9946417960374939,0.5808196315464649,rf
0.01,103,103,0.05564444444444444,0.4444555555555556,1.8,40000,0.01907621882855892,0.049501389265060425,0.01907621882855892,0.04561321064829826,0.9946319143448208,0.4679880074341036,0.9946319143448208,0.5837889343788962,rf
0.01,103,103,0.05564444444444444,0.3889111111111111,1.8,40000,0.01908012665808201,0.049498442560434334,0.01908012665808201,0.045535456389188766,0.9946199509352328,0.4681649772368426,0.9946199509352328,0.5869760696424337,rf
0.01,103,103,0.05564444444444444,0.3333666666666667,1.8,40000,0.019083769991993904,0.04949483275413513,0.019083769991993904,0.04544582962989807,0.9946090169384528,0.4683561169469458,0.9946090169384528,0.5906343437438334,rf
0.01,103,103,0.05564444444444444,0.2778222222222222,1.8,40000,0.01909015141427517,0.04949001222848892,0.01909015141427517,0.045334044843912125,0.9945927374527804,0.4684689776751069,0.9945927374527804,0.5951105387331992,rf
0.01,103,103,0.05564444444444444,0.2222777777777778,1.8,40000,0.01909700408577919,0.0494861975312233,0.01909700408577919,0.04522793740034104,0.9945715237222198,0.4684436635253668,0.9945715237222198,0.5990665414573433,rf
0.01,103,103,0.05564444444444444,0.16673333333333334,1.8,40000,0.01910163834691048,0.04948725178837776,0.01910163834691048,0.045170221477746964,0.9945649937257579,0.4683190488514593,0.9945649937257579,0.6008624697536313,rf
0.01,103,103,0.05564444444444444,0.11118888888888888,1.8,40000,0.01910786516964436,0.04948019608855248,0.01910786516964436,0.0452115423977375,0.9945450540205382,0.4688026530116984,0.9945450540205382,0.5976414289483364,rf
0.01,103,103,0.05564444444444444,0.05564444444444444,1.8,40000,0.019105320796370503,0.04947767034173012,0.019105320796370503,0.045459985733032234,0.99454143958696,0.468372892478389,0.99454143958696,0.5885575554742075,rf
0.01,103,103,0.05564444444444444,0.0001,1.8,40000,0.020126501098275185,0.04923662543296814,0.020126501098275185,0.04608985036611557,0.9912401664054856,0.4645617029365412,0.9912401664054856,0.5628069773611535,rf
0.01,103,103,0.0001,0.5,1.8,40000,0.00036294953315518796,0.052488964051008224,0.00036294953315518796,0.04613834619522095,0.9999843284770268,0.479624420867444,0.9999843284770268,0.5268034186977366,rf
0.01,103,103,0.0001,0.4444555555555556,1.8,40000,0.0003653726598713547,0.052845001220703125,0.0003653726598713547,0.04612075537443161,0.9999841068918124,0.4744454427211055,0.9999841068918124,0.5258692856510649,rf
0.01,103,103,0.0001,0.3889111111111111,1.8,40000,0.00038334098644554615,0.053505051881074905,0.00038334098644554615,0.04624316096305847,0.999982019212499,0.4641005847255595,0.999982019212499,0.5255975822822149,rf
0.01,103,103,0.0001,0.3333666666666667,1.8,40000,0.00038759902236051863,0.053685128688812256,0.00038759902236051863,0.046269841492176056,0.9999814481525025,0.4605673104490143,0.9999814481525025,0.5251702378184754,rf
0.01,103,103,0.0001,0.2778222222222222,1.8,40000,0.0003711870522238314,0.05286435782909393,0.0003711870522238314,0.04631107300519943,0.9999835171160218,0.4802807310119566,0.9999835171160218,0.5244508720432642,rf
0.01,103,103,0.0001,0.2222777777777778,1.8,40000,0.0003970878315158188,0.05271520465612412,0.0003970878315158188,0.04637652263045311,0.9999805319763112,0.4922525277496747,0.9999805319763112,0.5233503330806142,rf
0.01,103,103,0.0001,0.16673333333333334,1.8,40000,0.00038815362495370215,0.052936960011720664,0.00038815362495370215,0.046486105769872665,0.9999820455304286,0.4917196853973751,0.9999820455304286,0.5213627692518449,rf
0.01,103,103,0.0001,0.11118888888888888,1.8,40000,0.0003853054076898843,0.05207566916942597,0.0003853054076898843,0.046695705503225333,0.9999820382984154,0.5059894106932963,0.9999820382984154,0.517938819799625,rf
0.01,103,103,0.0001,0.05564444444444444,1.8,40000,0.00037283581332303584,0.05266723409295082,0.00037283581332303584,0.04721539095044136,0.9999831944373015,0.4907979675277147,0.9999831944373015,0.5316191780517255,rf
0.01,103,103,0.0001,0.0001,1.8,40000,0.001465919311158359,0.060030054301023476,0.001465919311158359,0.05119416117668152,0.9996646822196846,0.41310168682801146,0.9996646822196846,0.4648168440074738,rf
0.01,103,103,0.5,0.5,1.9,40000,0.04434079304337502,0.05203479528427124,0.04434079304337502,0.05140359699726105,0.9549088849157144,0.41006577659824,0.9549088849157144,0.4909768397852974,rf
